Date,Adj Close,Close,High,Low,Open,Volume,Stock,Daily_Return,Price_Range,SMA_10,SMA_20,Volatility
2025-01-06,243.2348480224609,245.0,247.3300018310547,243.1999969482422,244.3099975585937,45045600,AAPL,0.0067389849832975,4.1300048828125,251.74000091552733,249.9850006103516,0.0133739716988116
2025-01-07,240.46495056152344,242.2100067138672,245.5500030517578,241.3500061035156,242.97999572753903,40856000,AAPL,-0.0113877276985012,4.199996948242216,250.51200103759768,249.9535011291504,0.0114611430914075
2025-01-08,240.951400756836,242.6999969482422,243.7100067138672,240.0500030517578,241.9199981689453,37628900,AAPL,0.0020229974847978,3.660003662109375,249.25500030517577,249.7510009765625,0.0113854368773216
2025-01-10,235.14356994628903,236.8500061035156,240.16000366210932,233.0,240.009994506836,61710900,AAPL,-0.0241037944717162,7.160003662109347,247.11999969482423,249.2050010681152,0.0112300920615251
2025-01-13,232.71121215820312,234.3999938964844,234.6699981689453,229.72000122070312,233.52999877929688,49630700,AAPL,-0.0103441509136394,4.949996948242188,244.65800018310543,248.60050048828128,0.0104501636567152
2025-01-14,231.59927368164065,233.27999877929688,236.1199951171875,232.47000122070312,234.75,39435300,AAPL,-0.0047781362898932,3.649993896484375,242.4270004272461,247.86650009155272,0.0104910208220765
2025-01-15,236.1562042236328,237.8699951171875,238.9600067138672,234.42999267578125,234.63999938964844,39832000,AAPL,0.019675910330543,4.5300140380859375,240.99400024414064,247.35349960327147,0.013698911629735
2025-01-16,226.61544799804688,228.259994506836,238.009994506836,228.02999877929688,237.3500061035156,71759100,AAPL,-0.0404002220020105,9.979995727539093,238.7779998779297,246.21449966430663,0.0175652334763048
2025-01-17,228.32305908203125,229.97999572753903,232.2899932861328,228.47999572753903,232.1199951171875,68488300,AAPL,0.007535272330218,3.8099975585937775,237.39099884033203,245.03949966430665,0.0171421360133052
2025-01-21,221.03594970703125,222.63999938964844,224.4199981689453,219.3800048828125,224.0,98070400,AAPL,-0.0319158034361667,5.0399932861328125,235.31899871826167,243.7689994812012,0.0189402091828303
2025-01-22,222.2173614501953,223.8300018310547,224.1199951171875,219.7899932861328,219.7899932861328,64126500,AAPL,0.005344962471562,4.330001831054688,233.2019989013672,242.47099990844723,0.018818726427945
2025-01-23,222.0485992431641,223.66000366210932,227.02999877929688,222.3000030517578,224.7400054931641,60234800,AAPL,-0.0007594967946864,4.729995727539063,231.3469985961914,240.9294998168945,0.0189581499765247
2025-01-24,221.1749267578125,222.77999877929688,225.6300048828125,221.41000366210932,224.77999877929688,54697900,AAPL,-0.0039345652705162,4.220001220703153,229.3549987792969,239.30499954223632,0.0187080933059881
2025-01-27,228.2039031982422,229.8600006103516,232.1499938964844,223.97999572753903,224.0200042724609,94863400,AAPL,0.0317802400118905,8.16999816894537,228.65599822998047,237.88799896240235,0.0216073508131189
2025-01-28,236.5434112548828,238.259994506836,240.19000244140625,230.8099975585937,230.8500061035156,75707600,AAPL,0.036543956643956,9.380004882812528,229.04199829101563,236.84999923706056,0.024655782729741
2025-01-29,237.635482788086,239.3600006103516,239.8600006103516,234.009994506836,234.1199951171875,45486100,AAPL,0.004616830894303,5.850006103515625,229.6499984741211,236.0384994506836,0.0245514259237412
2025-01-30,235.8782196044922,237.58999633789065,240.7899932861328,237.2100067138672,238.6699981689453,55658300,AAPL,-0.0073947370820001,3.579986572265625,229.62199859619145,235.30799942016603,0.0239755525849478
2025-01-31,234.2996826171875,236.0,247.19000244140625,233.44000244140625,247.19000244140625,100959800,AAPL,-0.0066921855397877,13.75,230.3959991455078,234.58699951171877,0.0196154113613631
2025-02-03,226.36724853515625,228.009994506836,231.8300018310547,225.6999969482422,229.9900054931641,73063300,AAPL,-0.0338559554795085,6.1300048828125,230.1989990234375,233.7949989318848,0.0227834499074308
2025-02-04,231.1227569580078,232.8000030517578,233.1300048828125,226.6499938964844,227.25,45067300,AAPL,0.0210078885150721,6.480010986328097,231.21499938964843,233.2669990539551,0.0207651508496566
2025-02-05,230.7951202392578,232.47000122070312,232.6699981689453,228.2700042724609,228.52999877929688,39620300,AAPL,-0.0014175336199687,4.399993896484403,232.0789993286133,232.64049911499023,0.0208505116466875
2025-02-06,231.53973388671875,233.22000122070312,233.8000030517578,230.42999267578125,231.2899932861328,29925300,AAPL,0.0032262227214769,3.3700103759765625,233.03499908447264,232.19099884033204,0.0207876458866632
